Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Scenes of Infinity,Light Bringer,2013,"Power Metal, Symphonic Metal",Hyperion,https://www.youtube.com/watch?v=Qnqud-E4aXM,cover_light_bringer_scenes.webp,JP,Japan,Pure Awesome,"A cosmic embrace from the Goddess of Light, guiding you towards ascension",0,0,3,0,0,0,5,, 降り注ぐのは　無限の愛 / いつまでも僕らを　照らして
Songs About Leaving,Carissa's Wierd,2002,Slowcore,September Come Take This Heart Away,https://www.youtube.com/watch?v=cYtdQccn54I,cover_carissa_songs.jpeg,US,USA,Tears Please Stop Flowing,A warm and cozy blanket made of boundless grief and heartbreak,5,0,0,0,0,2,0,,I saw two fake long-stemmed roses on the windshield of a car / September come please take this heart away
Kalk Samen Kuri no Hana,Shiina Ringo,2003,"Art Pop, Art Rock", Shuukyou -Religion- ,https://www.youtube.com/watch?v=pKQqsJGJKfU,cover_shiina_kalk.jpeg,JP,Japan,Eclectic Masterpiece,One last night at the carnival of phantoms before the end of everything,1,1,0,1,1,1,3,,
Eureka,Kinoko Teikoku,2013,"Indie Rock, Shoegaze",Musician,https://www.youtube.com/watch?v=vA1Ph6SpTkI,cover_kinoko_eureka.jpeg,JP,Japan,Tears Please Stop Flowing,Slowly melting into ethereal song and fuzzy guitars (Japan edition),4,0,0,0,0,4,4,,
Jane Doe,Converge,2001,Mathcore,Jane Doe,https://www.youtube.com/watch?v=2WGbgnDQF6A,cover_converge_jane.jpeg,US,USA,Scream Into the Void,Meticulously structured chaos hides a heart torn asunder,2,5,0,3,0,0,5,,I want out
NieR:Automata ,Keiichi Okabe & Keigo Hoashi,2017,"Cinematic Classical, Ambient, New Age",City Ruins (Rays of Light),https://www.youtube.com/watch?v=LC5HsZt4oNc,cover_nier_automata.jpeg,JP,Japan,"Soundtrack, Ethereal Sadness",Nature reclaiming a planet ravaged by an ancient machine war,4,0,2,0,0,2,0,,
Circles,Mac Miller,2020,Neo-Soul,Good News,https://www.youtube.com/watch?v=aIHF7u9Wwiw,cover_mac_circles.jpeg,US,USA,Tears Please Stop Flowing,Gone too soon,5,0,0,0,0,0,0,,There's a whole lot more for me waitin' on the other side / I'm always wonderin' if it feel like summer
Wish You Were Here,Pink Floyd,1975,Art Rock,Wish You Were Here,https://www.youtube.com/watch?v=K6qj09OHvjw,cover_pink_wish.png,GB,United Kingdom,Deep and Moving,Don’t we all?,3,0,0,0,0,4,0,,"How I wish, how I wish you were here / We're just two lost souls swimming in a fishbowl, year after year / Running over the same old ground, what have we found? / The same old fears, wish you were here"
In Rainbows,Radiohead,2008,Art Rock,Weird Fishes/Arpeggi,https://www.youtube.com/watch?v=OIdrE5igo-k,cover_radiohead_rainbows.jpeg,GB,United Kingdom,Deep and Moving,I thought these guys were cool,2,0,0,0,0,4,2,,
Heaven or Las Vegas ,Cocteau Twins,1990,Dream Pop,Heaven or Las Vegas ,https://www.youtube.com/watch?v=JlwcQR5HHck,cover_cocteau_heaven.jpeg,GB,United Kingdom,Floating Into Bliss,Bliss manifested through celestial reverberations from cloud nine,0,0,0,0,0,5,1,,
E·MO·TION,Carly Rae Jepsen,2015,Synthpop,Run Away With Me,https://www.youtube.com/watch?v=TeccAtqd5K8,cover_carly_emotion.jpeg,CA,Canada,Jump for Joy,The absolute Queen catapulting the 80s into the 21st century and winning it all,1,0,3,0,0,1,1,,
Colored Sands,Gorguts,2013,Dissonant Death Metal,Le Toit Du Monde,https://www.youtube.com/watch?v=7LQd0IoJ25M,cover_gorguts_colored.jpeg,CA,Canada,Gaze Into the Abyss,Meditations on Tibet amid labyrinthine patterns of unrelenting chaos,0,4,0,4,0,0,0,,
Songs in the Key of Life,Stevie Wonder,1976,Pop Soul,Sir Duke,https://www.youtube.com/watch?v=EnNgASBdCeo,cover_stevie_keys.jpeg,US,USA,Jump for Joy,The incandescent joy of music shining brighter nowhere,0,0,5,0,4,0,3,,
FLCL Original Soundtrack No. 3,The Pillows,2005,Power Pop,Last Dinosaur,https://www.youtube.com/watch?v=xB2K-riHfSc,cover_pillows_flcl.jpeg,JP,Japan,Pure Awesome,The highs and lows of a perfectly normal adolescence where nothing amazing ever happens (\*gets abducted and falls in love with an alien rockstar\*),2,0,3,0,0,1,3,,
