Title,Composer,Artist,Year,Genre,CoverFile,FavSong,URL,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Symphony No. 9,Gustav Mahler,Leonard Bernstein,1986,"Romanticism, Symphony",,,,,,,,,,,,,,,,
Symphony No. 9,Ludwig van Beethoven,Herbert von Karajan,1963,"Romanticism, Symphony, Choral",,,,,,,,,,,,,,,,
4 Balladen; Barcarolle; Fantasie ,Frédéric Chopin,Krystian Zimerman,1988,"Romanticism, Piano, Solo",,,,,,,,,,,,,,,,
Symphony No. 2,Gustav Mahler,Zubin Mehta,1975,"Romanticism, Symphony, Choral",,,,,,,,,,,,,,,,
Piano Concertos Nos. 1 & 2,Frédéric Chopin,Krystian Zimerman,1999,"Romanticism, Piano, Concerto",,,,,,,,,,,,,,,,
A Symphonic Celebration,Joe Hisaishi,Royal Philharmonic Orchestra,2023,Cinematic Classical,,,,,,,,,,,,,,,,
Piano Concerto No. 3,Sergei Rachmaninoff,Khatia Buniatishvili,2017,"Romanticism, Piano, Concerto",,,,,,,,,,,,,,,,
Angel’s Egg,Yoshihiro Kanno,Hiroshi Kumagai,1985,"Modern Classical, Choral",,,,,,,,,,,,,,,,
Scriabin Recital ,Alexander Scriabin,Vladimir Sofronitsky,2003,"Romanticism, Modern Classical",,,,,,,,,,,,,,,,
Symphony No. 1,Gustav Mahler,Leonard Bernstein,1989,"Romanticism, Symphony",,,,,,,,,,,,,,,,
Piano Sonatas,Sergei Rachmaninoff; Sergei Prokofiev; Alexander Scriabin,Alexei Sultanov,2001,"Romanticism, Piano, Solo",,,,,,,,,,,,,,,,
The Early Piano Works,Erik Satie,Reinbert de Leeuw,1998,"Impressionism, Piano, Solo",,,,,,,,,,,,,,,,
Nightfall,Claude Debussy; Erik Satie; Maurice Ravel,Alice Sara Ott,2018,"Impressionism, Piano, Solo",,,,,,,,,,,,,,,,
Isle of the Dead; Symphonic Dances ,Sergei Rachmaninoff,Vladimir Ashkenazy,1984,"Romanticism, Tone Poem",,,,,,,,,,,,,,,,
Piano Quintets,Franz Schubert; Antonín Dvořák; Johannes Brahms; Robert Schumann,Alben Berg Quartett,2008,"Romanticism, Chamber Music",,,,,,,,,,,,,,,,
Sonaten: Mondschein; Pathétique; Appassionata,Ludwig van Beethoven,Daniel Barenboim ,1984,"Classical Period, Romanticism, Piano, Solo",,,,,,,,,,,,,,,,
Symphony No. 9,Antonín Dvořák,Georg Solti,1983,"Romanticism, Symphony",,,,,,,,,,,,,,,,
Symphony No. 3,Gustav Mahler,Leonard Bernstein,1962,"Romanticism, Symphony",,,,,,,,,,,,,,,,
