Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric,Views
Hyperion,Light Bringer,Scenes of Infinity,2013,Power Metal,https://www.youtube.com/watch?v=Qnqud-E4aXM,True,5:32,JP,Japan,🏆 Most Inspirational Song,0,0,7,0,0,0,5,, 降り注ぐのは　無限の愛 / いつまでも僕らを　照らして,338432
September Come Take This Heart Away,Carissa's Wierd,Songs About Leaving,2002,Slowcore,https://www.youtube.com/watch?v=cYtdQccn54I,False,6:24,US,USA,🏆 Heaviest Heart,7,0,0,0,0,2,0,,I saw two fake long-stemmed roses on the windshield of a car / September come please take this heart away,143887
A Change Is Gonna Come,Sam Cooke,Ain’t That Good News,1964,Soul,https://www.youtube.com/watch?v=1oZ6Z9xRxo8,False,3:13,US,USA,🏆 Most Hopeful Song,4,0,1,0,0,0,4,,"It's been a long, a long time comin' / But I know, a change gon' come",227872
Good News,Mac Miller,Circles,2020,Neo-Soul,https://www.youtube.com/watch?v=aIHF7u9Wwiw,True,6:37,US,USA,🏆 Most Tears Shed,6,0,0,0,0,0,0,,There's a whole lot more for me waitin' on the other side / I'm always wonderin' if it feel like summer,160018724
Jane Doe,Converge,Jane Doe,2001,Mathcore,https://www.youtube.com/watch?v=2WGbgnDQF6A,False,11:34,US,USA,,2,5,0,3,0,0,5,,I want out,216275
Gips,Shiina Ringo,Shouso Strip,2000,Shimokita-kei,https://www.youtube.com/watch?v=zldBTSx9JpE,True,5:50,JP,Japan,,2,1,0,0,0,0,5,,,37744187
Cellophane,FKA Twigs,Magdalene,2019,Art Pop,https://www.youtube.com/watch?v=YkLjqFpBh84,True,4:21,UK,United Kingdom,❤️ Music Video,5,0,0,0,0,0,5,,"I try, but I get overwhelmed / All wrapped in cellophane, the feelings that we had",22540648
“Heroes”,David Bowie,“Heroes”,1977,Art Rock,https://www.youtube.com/watch?v=YLp2cW7ICCU,False,6:11,UK,United Kingdom,,3,0,0,0,0,1,4,,,50364371
Musician,Kinoko Teikoku,Eureka,2013,Indie Rock,https://www.youtube.com/watch?v=vA1Ph6SpTkI,False,8:51,JP,Japan,,4,0,0,0,0,4,4,,,299910
Deadhead,The Devin Townsend Band,Accelerated Evolution,2003,Progressive Metal,https://www.youtube.com/watch?v=tJz-L3SbrLE,False,8:5,CA,Canada,,2,1,0,0,0,3,5,,"Now the rain it comes, the rain it blurs the grey line / The grey line, the Greyhound home",800465
Wish You Were Here,Pink Floyd,Wish You Were Here,1975,Art Rock,https://www.youtube.com/watch?v=K6qj09OHvjw,True,5:40,UK,United Kingdom,,3,0,0,0,0,3,0,,"How I wish, how I wish you were here / We're just two lost souls swimming in a fishbowl, year after year / Running over the same old ground, what have we found? / The same old fears, wish you were here",4270783
Last Dinosaur,The Pillows,Happy Bivouac,1999,Power Pop,https://www.youtube.com/watch?v=xB2K-riHfSc,False,3:47,JP,Japan,,3,0,3,0,0,1,3,,,2447456
Do You Realize??,The Flaming Lips,Yoshimi Battles the Pink Robots,2002,Neo-Psychedelia,https://www.youtube.com/watch?v=lPXWt2ESxVY,True,4:26,US,USA,🏆 Most Beautiful Song,3,0,2,0,0,2,1,I made a [Studio Ghibli music video tribute](https://www.youtube.com/watch?v=nA2ypGM98h4) using this song and somehow it’s one of my proudest accomplishments.,Do you realize / That you have the most beautiful face?,10220504
Blue,Seatbelts,Cowboy Bebop Blue,1999,Space Blues,https://www.youtube.com/watch?v=Xjzb_-26m2o,False,5:5,JP,Japan,Soundtrack,3,0,2,0,0,2,5,,,3059051
Heaven or Las Vegas ,Cocteau Twins,Heaven or Las Vegas ,1990,Dream Pop,https://www.youtube.com/watch?v=JlwcQR5HHck,False,4:56,UK,United Kingdom,,0,0,0,0,0,5,1,,,534815
Le Toit Du Monde,Gorguts,Colored Sands,2013,Dissonant Death Metal,https://www.youtube.com/watch?v=7LQd0IoJ25M,False,6:33,CA,Canada,,0,4,0,4,0,0,0,,,114651
Twilight,Electric Light Orchestra,Time,1981,Pop Rock,https://www.youtube.com/watch?v=yDN68LxWW-8,False,7:25,UK,United Kingdom,,1,0,3,0,1,1,3,,,1269405
Killing in the Name,Rage Against the Machine,Rage Against the Machine,1992,Alternative Metal,https://www.youtube.com/watch?v=bWXazVhlyxQ,True,5:14,US,USA,Anti-fascist Anthem,0,4,0,0,3,0,0,,FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME,338642198
N.Y. State of Mind,Nas,Illmatic,1994,Boom Bap,https://www.youtube.com/watch?v=izhKFB0_2w0,False,4:54,US,USA,,0,0,0,2,1,0,0,,"Inhale deep like the words of my breath / I never sleep, 'cause sleep is the cousin of death",32095884
Nazi Punks Fuck Off,The Dead Kennedys,"In God We Trust, Inc.",1981,Hardcore Punk,https://www.youtube.com/watch?v=PzHLPnGuVSQ,False,2:10,US,USA,Anti-fascist Anthem,0,5,0,0,0,0,0,,Punk ain't no religious cult / Punk means thinking for yourself / You ain't hardcore when you spike your hair / When a jock still lives inside your head,1505855
Dream Fighter,Perfume,⊿ (Triangle),2008,Electropop,https://www.youtube.com/watch?v=rBX5YGPNDbs,True,5:4,JP,Japan,,0,0,5,0,0,0,1,,,15941113
City Ruins (Rays of Light),Keiichi Okabe,NieR:Automata ,2017,New Age,https://www.youtube.com/watch?v=LC5HsZt4oNc,False,6:23,JP,Japan,Soundtrack,4,0,2,0,0,4,0,,,1005483
Venice Bitch,Lana Del Rey,Norman Fucking Rockwell!,2018,Art Pop,https://www.youtube.com/watch?v=Qg3DxELVPj4,True,9:41,US,USA,,2,0,0,0,0,4,0,,And as the summer fades away / Nothing gold can stay,29201386
Zombie,Fela Anikulapo Kuti and Afrika 70,Zombie,1977,Afrobeat,https://www.youtube.com/watch?v=Qj5x6pbJMyU,False,12:32,NG,Nigeria,Anti-fascist Anthem,0,1,0,0,4,0,0,,"Zombie no go turn, unless you tell am to turn (Zombie) / Zombie no go think, unless you tell em to think (Zombie)",2912973
A Flood of Light,Rolo Tomassi,Time Will Die and Love Will Bury It ,2018,Post-Metal,https://www.youtube.com/watch?v=hM_4Ty_ZHaU,True,7:31,UK,United Kingdom,Emotional Rollercoaster,3,3,2,1,0,3,4,,,86106
Weird Fishes/Arpeggi,Radiohead,In Rainbows,2008,Dream Pop,https://www.youtube.com/watch?v=OIdrE5igo-k,True,5:56,UK,United Kingdom,"❤️ Music Video, ⚠️ Sketchy Artist",2,0,0,0,0,5,1,,,78304
Glory Box,Portishead,Dummy,1994,Trip Hop,https://www.youtube.com/watch?v=c417rIku6Iw,False,5:9,UK,United Kingdom,,2,0,0,1,0,4,1,,,31658267
$0.00,Cameron Winter,Heavy Metal,2024,Singer-Songwriter,https://youtu.be/ETZKZzz7MWo?si=-VOGRFzsSmGPMdlH,True,6:31,US,USA,,4,0,0,0,0,0,4,,,350716
Willy,Konstantin Wecker,Genug ist nicht genug,1977,Piano Blues,https://www.youtube.com/watch?v=mw6nD98IGwg,False,7:35,DE,Germany,Anti-fascist Anthem,3,2,0,0,0,0,4,,,354476
Duk Koo Kim,Sun Kil Moon,Ghosts of the Great Highway,2003,Slowcore,https://www.youtube.com/watch?v=8-RjqU3T2x4,False,14:33,US,USA,⚠️ Sketchy Artist,4,0,1,0,0,3,0,,,444273
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,2004,Emo-Pop,https://www.youtube.com/watch?v=UCCyoocDxBA,False,3:30,US,USA,,2,1,0,1,0,0,4,,,265564888
Guilty by Ignorance,Snapcase,Progression Through Unlearning,1997,Metalcore,https://www.youtube.com/watch?v=wb1byFx1wAk,False,2:38,US,USA,Anti-fascist Anthem,0,5,0,0,1,0,0,,,15633
Kimi no shiranai monogatari,supercell,Today Is a Beautiful Day,2011,Pop Rock,https://www.youtube.com/watch?v=0VpGoDp3FCE,False,5:40,JP,Japan,,3,0,5,0,0,0,2,,,10012513
This Is Is This?,Ling Tosite Sigure,Still a Sigure Virgin? ,2010,Post-Hardcore,https://www.youtube.com/watch?v=kP03KZyUxaU,False,4:22,JP,Japan,Emotional Rollercoaster,2,2,0,1,0,2,5,,,33423
Endsong,The Cure,Songs of a Lost World,2024,Gothic Rock,https://www.youtube.com/watch?v=gA5pg7DRLf4,False,10:23,UK,United Kingdom,,4,0,0,4,0,3,0,,"It's all gone, it's all gone / I will lose myself in time / It won't be long",1487723
Run Away With Me,Carly Rae Jepsen,E·MO·TION,2015,Synthpop,https://www.youtube.com/watch?v=TeccAtqd5K8,False,4:12,CA,Canada,,0,0,4,0,0,1,3,,,55032560
Beautiful World,Hikaru Utada,Heart Station,2008,J-Pop,https://www.youtube.com/watch?v=N2tSDKngeoY,False,4:43,JP,Japan,,2,0,0,0,0,3,3,,,4967159
Questions in a World of Blue,Julee Cruise,Twin Peaks: Fire Walk with Me,1992,Ambient Pop,https://www.youtube.com/watch?v=MOSaLtcqob8,False,4:54,US,USA,Soundtrack,5,0,0,1,0,3,0,,,471598
Delusionalism,Mass of the Fermenting Dregs,Mass of the Fermenting Dregs,2006,Shimokita-kei,https://www.youtube.com/watch?v=5p_DvecvJKc,False,3:40,JP,Japan,Seen Live,1,0,1,0,0,0,3,,,1179193
Painkiller,Judas Priest,Painkiller,1990,Speed Metal,https://www.youtube.com/watch?v=kO_EdmtR5Ck,False,6:8,UK,United Kingdom,,0,3,0,0,0,0,3,,,9298590
Red Rock Riviera,Sea Power,From the Sea to the Land Beyond,2013,Post-Rock,https://www.youtube.com/watch?v=NSkb5OtTmgg,False,6:53,UK,United Kingdom,,3,0,0,0,0,1,0,,,577681
Goodbye,toe,For Long Tomorrow,2009,Midwest Emo,https://www.youtube.com/watch?v=e1pZIfretEs,True,4:29,JP,Japan,"❤️ Music Video, 🏆 Best Drumming",3,0,1,0,1,3,3,"I linked the music video above because it is genuinely amazing, but it only features an abridged version of the song. The full, superior version is 7-8 minutes long, see e.g. this [live peformance](https://www.youtube.com/watch?v=azSsMG6h8k0).",,5668045
Aerials,System of a Down,Toxicity,2001,Alternative Metal,https://www.youtube.com/watch?v=L-iepu3EtyE,True,4:4,US,USA,,1,0,0,0,0,3,1,,,547442566
White Ceiling,Parannoul,To See the Next Part of the Dream,2021,Shoegaze,https://www.youtube.com/watch?v=g1x1NtWGw5s,False,10:0,KR,South Korea,,3,1,1,0,0,5,3,,,269279
Cámara lenta,Javiera Mena,Esquemas juveniles,2005,Indie Pop,https://www.youtube.com/watch?v=vN1AlIBob-o,False,5:27,ES,Spain,,0,0,1,0,0,4,0,,,539601
Blackwater Park,Opeth,Blackwater Park,2001,Progressive Metal,https://www.youtube.com/watch?v=ngdaa4aZLgA,False,12:8,SE,Sweden,,1,2,0,4,2,1,0,,,1330768
"Rock’n’Roll, Morning Light Falls on You",Asian Kung-Fu Generation,"World, World, World",2008,Shimokita-kei,https://www.youtube.com/watch?v=rDTFSD9K9dA,True,4:46,JP,Japan,,2,0,2,0,0,2,1,,,2161420
