Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
A Change Is Gonna Come,Sam Cooke,Ain’t That Good News,1964,Soul,https://www.youtube.com/watch?v=1oZ6Z9xRxo8,FALSE,,US,USA,,4,0,1,0,0,0,4,,"It's been a long, a long time comin' / But I know, a change gon' come"
Killing in the Name,Rage Against the Machine,Rage Against the Machine,1992,Alternative Metal,https://www.youtube.com/watch?v=bWXazVhlyxQ,TRUE,,US,USA,,0,4,0,0,3,0,0,,FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME / FUCK YOU I WON’T DO WHAT YOU TELL ME
Nazi Punks Fuck Off,The Dead Kennedys,"In God We Trust, Inc.",1981,Hardcore Punk,https://www.youtube.com/watch?v=PzHLPnGuVSQ,FALSE,,US,USA,,0,5,0,0,0,0,0,,Punk ain't no religious cult / Punk means thinking for yourself / You ain't hardcore when you spike your hair / When a jock still lives inside your head
Guilty by Ignorance,Snapcase,Progression Through Unlearning,1997,Metalcore,https://www.youtube.com/watch?v=wb1byFx1wAk,FALSE,,US,USA,,0,5,0,0,1,0,0,,
What's Going On ,Marvin Gaye,What's Going On,1971,Smooth Soul,https://www.youtube.com/watch?v=H-kA3UtBj4M,FALSE,,US,USA,,3,0,2,0,0,1,2,,
The Poppies Bloom For No King,Panopticon,The Poppies Bloom For No King,2025,Atmospheric Black Metal,https://thetruepanopticon.bandcamp.com/album/the-poppies-bloom-for-no-king-ep,FALSE,,US,USA,,,,,,,,,,
Fight the Power,Public Enemy,,,,,,,,,,,,,,,,,,
Resistance Hymn,Barbara Dane,,,,,,,,,,,,,,,,,,
This Land Is Your Land,Woody Guthrie,,,,,,,,,,,,,,,,,,
Citien I.C.E.,Dropkick Murphys,,,,,,,,,,,,,,,,,,
Sinnerman,Nina Simone,,,,,,,,,,,,,,,,,,
Police State Is Nervous,Dälek,,,,,,,,,,,,,,,,,,
Words of Wisdom,2Pac,2Pacalypse Now,,,,,,,,,,,,,,,,,
Prison Song,System of a Down,,,,,,,,,,,,,,,,,,
B.Y.O.B.,System of a Down,,,,,,,,,,,,,,,,,,
Chapter 319,clipping.,Chapter 319,2019,,,,,,,,,,,,,,,,
Alright,Kendrick Lamar,To Pimp a Butterfly,2015,,,,,,,,,,,,,,,,
We Shall Not Be Moved,Barbara Dane,,,,,,,,,,,,,,,,,,
We Shall Overcome,Pete Seeger,,,,,,,,,,,,,,,,,,
F the CC,Steve Earle,,,,,,,,,,,,,,,,,,
The Revolution Will Not Be Televised,Gil Scott-Heron,Pieces of a Man,,,,,,,,,,,,,,,,,
We the People…,A Tribe Called Quest,,,,,,,,,,,,,,,,,,
Dear Sirs,El-P,I’ll Sleep When You’re Dead,,,,,,,,,,,,,,,,,
Reagan,Killer Mike,R.A.P. Music,,,,,,,,,,,,,,,,,
FDT,YG,Still Brazy,,,,,,,,,,,,,,,,,
Pig Feet,Terrace Martin feat. Denzel Curry,,,,,,,,,,,,,,,,,,
John Wayne Was a Nazi,MDC,Millions of Dead Cops,,,,,,,,,,,,,,,,,
Gold Chain Punk (whogonbeatmyass),Soul Glo,Diaspora Problems,,,,,,,,,,,,,,,,,
Fuck the Border,Propagandhi,"Today’s Empires, Tomorrow’s Ashes",,,,,,,,,,,,,,,,,
Holiday in Cambodia,The Dead Kennedys,Fresh Fruit for Rotting Apples,,,,,,,,,,,,,,,,,
War Isnt’ Murdr,Jesse Welles,Hells Welles,,,,,,,,,,,,,,,,,
Who’ll Stand With Us?,Dropkick Murphys,,,,,,,,,,,,,,,,,,
Uncle Sam Goddamn,Brother Ali,The Undisputed Truth,,,,,,,,,,,,,,,,,
Here Come the Rome Plows,Drive Like Jehu,Yank Crime,,,,,,,,,,,,,,,,,
Hind’s Hall,Macklemore,,,,,,,,,,,,,,,,,,
Black Soot and Reed Blood,Panopticon,Kentucky,,,,,,,,,,,,,,,,,
Praying Man,Big K.R.I.T.,,,,,,,,,,,,,,,,,,
